video_name,question,answer
v_d09u-0k3LdE,Can you describe the sequence of events in the video?,"The video begins with the woman in a red vest standing in a net, holding a hammer attached to a string in a field with a red mat. She swings with the string and spins a few times before releasing the hammer through the open end of the netting. The video ends with the woman walking off to the side."
v_325CAs4hhq8,What is the order of events captured in the video?,"The video starts on a hockey field with players wearing orange uniforms playing field hockey. In the next clip, several players are visible on the field, leaning forward and waiting for a player to hit the ball. In the next clip, several girls from other teams are introduced, and individual players are speaking into the camera. In the next clip, a coach is instructing players. The next few clips are of players on the field standing and being instructed, and individual players being interviewed. A still photo of a team is shown, followed by a play of the game as players are on the field chasing a ball. Two teams are visible. As the clip of the game is being played, a coach is speaking into the camera. The video ends with a goal in the game by a player in an orange uniform."
v_p07Y--q4JQw,In what order was the clear solution applied to the woman's fingers?,The man started applying the solution on one finger after another until he completed all the fingers of the woman.
v_KvtqF0LaWU0,What is the order of events in the video?,"The video starts with a credit roll, followed by a clip showing a girl in a red outfit struggling to open a jar while standing behind a black stone kitchen counter. A wooden cutting board and a steel bowl can be seen on the counter, and a chrome-colored fridge and ovens are visible in the back. In the next clip, a woman wearing a sweater joins the girl at the counter, and the girl holds up different ingredients to the camera. The girl then prepares the ingredients by chopping cherry tomatoes and squeezing basil paste from a tube into the bowl. She then sprinkles some contents from a bottle into the bowl. In the next clip, a man wearing a white shirt tastes the mixture with a spoon and speaks to the camera. Finally, the video ends with a list of ingredients."
v_UGWOtDmIcns,What happens to the man rock climbing in the video?,"The man wearing dark blue jeans and black & red shoes, rock climbs up the wall by putting both his hands in the crack of the rock walls for support and climbing with his legs. However, his fingers get stuck into the crack of the rock wall and he falls down as he reaches almost to the top of the wall."
v_-vnSFKJNB94,What are some diving maneuvers that Michal Navratil performs in the video?,"In the video, Michal Navratil performs a range of diving maneuvers including tucks, twists, and forward dives. He does various flips from the diving board, showcasing his skills and control in the air. The video ends with him performing a forward tuck dive."
v_8L1UjGLOCeI,What did the woman do after she completed the hopscotch pass?,"After completing the hopscotch pass, the woman turned around and hopped back to the spot she started from before opening the closed door behind her. She then turned to the camera and held her hands to the side."
v_QOsG3BeQeX0,What is the sequence of events in the video related to the man swinging from the parallel bars?,The man is swinging back and forth from the bottom of the parallel bars while upside down. He then rightens himself and goes back to the previous position.
v_X4J9UBXb0FM,Can you describe the temporal sequence of events in the video?,"Yes, the video starts with a slow-motion shot of a man starting his run at a pole vaulting competition during the daytime. The first athlete is wearing a vest and black shorts. He then vaults over the bar. The next clip shows an athlete wearing a blue vest and shorts pole vaulting over a bar in a competition held during the night. The field is lit by floodlights. Following this, an athlete wearing an orange vest and shorts is also shown pole vaulting over a bar. The video continues with various athletes involved in pole vaulting competitions held both during the day and night. Finally, the video ends with athletes standing on medal podiums wearing wreaths."
v_b4xvXZq5uD8,What events occur during the man's haircut?,"The video shows the boy starting the haircut by running a trimmer through the middle of the man's head, with other people walking in and out of the shot behind him. Another individual takes the trimmer from the boy and starts trimming the hair of the man. As the man's haircut ends, a man wearing a black coat brings out a chocolate cake, and the others sing. Finally, an image of the man's face smeared with chocolate cake is shown at the end of the video."
v_rpjxjU-mLiw,What does the man in the teal T-shirt do after he finishes his discus throw?,"After the man in the teal T-shirt finishes his discus throw, he walks towards the camera and claps his hands."
v_hP-xRyx88aA,Can you describe the temporal sequence of events during the pole vaulting competition in the video?,"The woman in black with a pole starts her run towards the bar, plants the pole, and goes over the bar to land on the foam mat at the beginning. Later, the same woman, now wearing a white jacket, takes a drink from a water bottle, stands at the starting point with her pole, runs towards the bar again, jumps over it and lands on the other side. Two men are seen measuring the height of the bar with a measuring stick, and the video ends with a replay of the pole vault from a different angle."
v_0x6ZV9Y8g_c,What is the toddler wearing and where are they located in the beginning of the video?,"In the beginning of the video, the toddler is wearing blue and red pajamas and they are inside a bathroom."
v_X5kj4fZ38rc,What is the sequence of events in the video relating to the woman playing the violin?,"The woman starts by standing and smiling, before playing the violin by putting it on her shoulder and vibrating the violin strings with the bow while using her fingers to control the strings. She then stops playing the violin for a brief amount of time and starts again before eventually stopping and fading into a black screen"
v_SLHPvKh-_x8,What is the first thing that appears on the screen and how does the video end?,"The video starts with the text 'Infection Control' on a black screen and ends as the woman throws the used tissue in a trash can. In between, the woman demonstrates how to wash her hands effectively using soap and dries her hands using tissue paper after turning off the tap."
v_4QRRxub6L5Q,What was the last action of the girl in the video and how was the environment around her?,The last action of the girl was doing backflips and landing. The platform she was on was indoors and well-lit from above. There was a poster of a cartoon sloth on the far wall. Another girl was sitting and watching to the side.
v_wjr5M-6qEWI,What is the sequence of events during the beginning of the video as two ping pong players play a game in the arena?,"The video begins with two ping pong players playing a game in a well-lit arena, with seats for spectators near the walls and flags of different countries hung near the rafters. A man wearing a jacket and khaki pants is sitting near the separator of the court. Later, a referee wearing a coat is seen sitting behind a table at the edge of the court while the two players are on an orange court playing ping pong."
v_Y9d4iPDeigI,What happens after the two boxers start clinching?,"After the two boxers start clinching, they keep both their hands on top of each other shoulders and try to hit each other with their knee. "
v_vMcXLYBcHsM,What happens in the kitchen after the woman finishes cutting the man's hair?,"After the woman finishes cutting the man's hair, a boy wearing a grey sweatshirt walks into the kitchen and pours something into the steaming pot. He is cooking something in the pot. As the camera pans, a man can be seen sitting on a chair by the wall and reading. The woman continues to give the man a haircut. In the following clip, the boy wearing the grey hoodie uses scissors to cut the hair at the top of the man's head. He then uses the clippers to clip hair behind the man's ears. The boy opens a cabinet to his right and takes a box out and holds it to the camera. The video ends as the boy leaves and the man in the orange shirt holds up a peace sign."
v_C7yd6yEkxXE,What is the order of events in the beginning of the video?,"The video begins on a dirt bike track with trees and vegetation visible outside the track. Bikers can be seen approaching from behind a jumping ramp. A rider jumps over a jumping ramp and continues on to the next one, while another rider parallel to the first one jumps over a ramp on the right. The clip ends with the riders making a left turn after they clear the second ramp."
v_NojaHuKBagQ,What is the sequence of events in the video?,"In the video, the man first cleans the bottom edge of the shoe on his right with an adhesive eraser and shows it to the camera. Then, he picks up a white Nike shoe from his right and cleans it with the eraser. He cleans both the shoes and then handles the right shoe while speaking before the video ends."
v_0rr7iGHamw0,What is the order of events in which Valarie imprints the design on the t-shirt using iron on transfer?,"Valarie is standing in front of an ironing board holding an iron, with a shirt laying on it. She uses iron on transfer to imprint a design on the shirt. While pressing the design on the shirt with the iron, she speaks and laughs with the cameraman. Valarie walks toward another table, picks up a white t-shirt with a Twitter username on it and a picture of a blue bird, and quickly walks back to her ironing board to continue pressing the shirt. She removes the paper laying on the t-shirt and shows the finished design. In the end, Valarie covers the t-shirt with another and waves bye to the camera."
v_ghxiG0Dnrt0,What does the woman do after washing her hands?,"After washing her hands, the woman dries them on her apron and then walks out of the frame."
v_IgDBDaIoNAM,When does the fight start and where are they located?,The fight starts during the daytime when the man and woman are standing under an overpass. They take a fighting pose in the shadow of the overpass. There is a wall with graffiti behind them.
v_1KONAdZGdWU,What is the girl doing at the beginning of the video and what is her attire?,"At the beginning of the video, the girl is sitting on a carpeted floor in a darkened room with little light. She is wearing a blue T-shirt and shaving her left leg while occasionally talking to the camera person."
v_1xBdquA6dx8,Can you describe the temporal sequence of events from the beginning of the video until the end?,"Sure, the video first shows two teams of girls playing hockey, one in blue and the other in green jerseys. Then it follows a girl with number ten jersey from the blue team, guiding the ball towards the goal while being quickly intercepted by a girl with a number nineteen jersey from the opposite team. However, she regains control of the ball and runs towards the goal. At the end of the video, the girl is again intercepted but she manages to hit the goal."
v_PdwWFueQErM,What time of day is the man shoveling snow?,The man is shoveling snow during the daytime.
v_eS-VU_XV1K8,What is happening in the beginning of the video?,"The video starts with a group of women doing an aerobics workout, led by an instructor."
v_TEgPIueNqTI,What is happening at the start of the video and who is involved?,"At the beginning of the video, a woman is wearing a white top and sitting on a chair in a tattoo parlor, while a tattoo artist wearing black outfit and black nitrile gloves is starting to tattoo the woman’s right wrist. The woman has put her wrist on the arm of the chair. Other people can be seen sitting on chairs on the side."
v_T7YcO-sOLuU,What is the sequence of events in the video?,"In the video, a man wearing a dark-colored t-shirt is sitting behind a table that has shoes placed on it. He is holding up a white shoe. Next, the table with the three shoes, a pack with various cleaning supplies, and a glass of water at the back are shown. Then, the man is sitting behind the table holding a Nike shoe. A bottle of clear liquid, with the label ""JASON MARKK"" is on the table next to the shoes. A hand brush is placed next to the bottle of liquid. In the following clip, the man shows all sides of different shoes. The man then dips the hand brush in the glass of water and adds the liquid from the bottle. He proceeds to clean a shoe with the brush before wiping the foam with a cloth. Finally, he cleans the rest of the shoes on the table and holds the clean shoes to the camera along with the pack of cleaning supplies."
v_MgjxjBxGrQU,What happens after the man in the Mario costume smokes from the hookah again?,"After the man in the Mario costume smokes from the hookah again, he opens a door on his right and a man in a dark green Luigi costume enters the room. The two hug and start to smoke the hookah. Shortly after, a man in a yellow Luigi costume enters the room and they all start to smoke together while talking to each other. They also start dancing to music while sitting and smoking, and blow smoke at each other. The three men share the hookah and at one point the man in the Mario costume hands the pipe to the man in the green Luigi costume, then takes it back after the man in the yellow Luigi costume smokes once. They then do a chest bump and continue to smoke and converse. The video ends with a slideshow of the three in different poses."
v_3M290KZV5lo,What is the sequence of events in the girl’s performance on the balance beam?,"The girl mounts the balance beam, performs a backflip, does jumps, balancing and skipping on the beam, and finishes her routine with a running front flip off the beam and a flourish."
v_5tFfEA1JWjA,What is the temporal sequence of events in the video?,"The coach instructs the boy on the left, who is holding a basketball, and the boy proceeds to dunk the ball through the basket. He then catches the ball as it comes through the basket and continuously dunks the ball by repeatedly jumping high. Throughout the video, the boy continues to dunk the ball from either side of the basket while jumping."
v_18yZR3NDaXM,What is the sequence of events in the video?,"In the video, a man talks to the camera in front of a fence behind which a stadium is lit by floodlights. People can be seen scattered throughout the field. The next clip shows a person wearing a body cam running on the kickball field, followed by a man throwing the ball underhanded towards waiting players. A player kicks the ball into the air and runs some distance, which is also shown from the bodycam footage. This is followed by a clip of the man being filmed kicking the ball. In the next clip, the cameraman walks towards a person, focuses on the man wearing a blue t-shirt and wearing a bodycam. The cameraman then focuses on a man in a black t-shirt and wearing a kilt. The next clip shows bodycam footage of a man running on the field playing kickball, followed by a man in a blue T-shirt, wearing a bodycam, speaking to the cameraman. Finally, the man in the blue T-shirt runs towards the ball and the video ends with a man in a darkened room speaking into the camera."
v_PwRqqR1YmPM,In what order do the events happen in the video?,"The video starts with an athlete starting his run for a pole vaulting competition in a track field during the daytime. After the athlete vaults over the bar and lands on the cushion mat on the other side, the video continues with other athletes pole vaulting. Replays are shown after each athlete completes their run, with observers near the bars with binoculars. The video continues with athletes completing their jumps, and ends with stats of the athletes."
v_mNiFmkm5OZA,What does the man do before drinking from the glass?,The man smokes from the hookah and blows smoke rings before picking up the glass filled with beer and blowing smoke into it before drinking.
v_vaV6_bxiTLI,What happens last in the video?,"At the end of the video, the boy wearing a green t-shirt who was sitting on the sidewalk holding a camera gets up."
v_MxvKscpouzY,Can you describe the temporal sequence of events in the video?,"Sure! The video starts with a table tennis match between two players, one wearing a red t-shirt and the other wearing a blue t-shirt and shorts. As they play, the player in the red t-shirt hits the ball and the player in the blue t-shirt misses. A shot of the exchange from behind the player in the blue t-shirt is shown. After this, the video continues to show matches between different players of different nationalities. Finally, the video ends with a man in a blue and yellow t-shirt with the name 'Wang Hao' printed on its back winning a game and celebrating. He holds his hands up as the spectators cheer, and then shakes hands with the referees. A still image of the player with his hands held wide at his sides is shown."
v_le7JdKQB65I,What is the sequence of events of the woman's makeup application?,"The woman first applies cream, then eyeliner, followed by lipstick. She then does contours and follows up with a highlight and blush before picking up the mirror and looking at herself."
v_BAtlo_AGFWs,What sequence of events did Chris Hadfield experience while on the International Space Station?,"Chris Hadfield first squeezed honey onto a tortilla and held it up to the camera, then played the guitar while floating in space, followed by getting a haircut from someone wearing a teal t-shirt. He was holding onto handles to stay in place while the person giving him a haircut was holding a trimmer with a hose attached to it. After that, he and other astronauts were seen walking down a path with people on either side and an image of a rocket on a launchpad was shown. Next, his Twitter page was displayed and he gave an interview on the International Space Station while different images of Earth and space were shown in a slideshow as he spoke. The video ends with a clip of Chris Hadfield rearranging his hair."
v_rGOOlcdpfLg,What is the sequence of events in the video?,"The woman starts by speaking to the camera wearing a red and blue checkered shirt in a bedroom with posters on the back wall. She then applies black makeup to her eyebrows, eye shadow, eyeliner, attempts to apply back highlights to her lower eyelid causing herself pain, and finally applies liner to her lips. The video ends with her buttoning her shirt and holding a gun to the back of a man's head she dragged from her left."
v_-6dz6tBH77I,What did the man do after he spun a few times while standing in the net?,"After the man spun a few times while standing in the net, he threw the disk from the open end of the net and looked toward the direction where he threw it. The people outside the net applauded."
v_ojIhxWrBM0s,What is the sequence of events in the video?,"The video starts with a man seated in a barber chair looking through a magazine. He is followed by other customers who are getting their hair cut. Next, a man is shown getting his hair washed by a barber. After that, there is a shot of people waiting outside the salon. Finally, the video ends with a man getting his hair cut by the barber who finishes by holding a mirror for him to check his haircut"
v_Q3ZNFGE8PZE,What is the order in which the people join the boy dancing in the alley?,"First, another boy wearing a black jacket and white gloves joins the boy with a black umbrella. Later, other dancers join the first two boys one at a time, and eventually a group of people joins the girls as they watch and cheer."
v_p1QGn0IzfW0,What is the first activity that the boy wearing a red t-shirt and black shorts performs in the video?,"In the video, the boy wearing a red t-shirt and black shorts starts his routine by swinging on the bars and doing a handstand."
v_oR8o_PuKS28,What time of the day does the video start and what are the players doing?,The video starts during the daytime and the four men are playing beach volleyball near the shores using only their heads and legs to punt the ball back and forth. Another man is standing near the right pole and trees are visible in the far back. A few boats are sailing in the sea. There is a lawn visible to the left of the players.
v_myGBEXiYGOU,What is the first thing the woman does in the video and what does she paint?,The video starts with a woman smiling at the camera and turning around to a blank canvas to paint the head and torso of a peacock using various shades of blue before progressing to other parts of the bird. 
v_9ZVWD0ZKXZg,What does the boy do just a few feet away from the top of the rock?,"Just a few feet away from the top of the rock, the boy pauses to rest and applies chalk to his hand before continuing to climb to the top."
v_JguRZtFN-Ck,What is the last action of the woman in the video?,The woman walks to the middle of the hall after a strike and stops.
v_nDHupsLdar0,What does the man do throughout the duration of the video?,"Throughout the video, the man is playing the harmonica as he sits on the edge of a dark blue sofa. He plays the harmonica from the beginning to the end of the video as he sits back and turns to his right. Initially, the shot is blurry and the man is wearing a grey sweatshirt and sunglasses, and a CPU is placed on a wooden table next to him while a lamp is visible at the back."
v_h_r8gioFi4k,What kind of moves are the woman and man using in their kickboxing practice and how does the video end?,"The woman and man are using numerous kickboxing moves including punching, kicking, and occasionally using elbows. The video ends with their practice ending and both of them stopping fighting."
v_ZUl43hNzGjA,What is the sequence of events in the video?,"The video begins with a view of a white building from the outside, followed by a glimpse inside a ballet studio where children practice ballet with a teacher wearing a white t-shirt and pants. Then, students are seen practicing in a hallway while some sit at the bottom of the stairs at the back. A girl is speaking from inside a well-lit studio, followed by girls dancing with one hand on a handle. A woman wearing a green top is talking to the camera, and then there is a shot of the dome in the building. The clip changes to a classroom with students seated and one of the students writing on the chalkboard. After that, children are seen walking through the school as a woman wearing a red shirt speaks to the camera. Finally, a girl and a boy are dancing in a studio while the children watch."
v_fNhw7xE3NM8,What is the first thing that the girl does when the video starts and what can you say about the room she is in?,"The first thing the girl does when the video starts is trying to make a video for her friend Bethany. The room she is in has printed walls and a chandelier. It has a green sofa, a big green plant, a white door, and some dolls. The girl herself is wearing a black top."
v_jCxQQ9DMpT0,What is the sequence of events involving the archery scene in the video?,"The video starts with a man drawing the string of a compound bow on a golf course, followed by him shooting an arrow. In the next clip, the man is shown with his bow again, and a man in a blue polo shirt instructs him on how to hold the bow properly. The man hands the bow back to the archer, who follows the instruction and shoots another arrow. The man in the blue polo shirt then walks away at the end of the video."
v_q_QR5HoROhI,What is the sequence of events for painting the woman’s nail in the video?,"First, the man applies black ink to the woman’s index finger nail using a small brush and she places her fingers under a curing lamp to dry the ink. Next, he applies glitter of different colors on the black-painted nail and then seals the glitter with an instant seal. Finally, he applies cuticle oil around the nail."
v_ROrLMf0zXko,"What is the first scene shown in the video, and what follows it?","The video starts with text on a white screen, which is followed by a street scene where a man in a white outfit is getting ready to breakdance on a black and white mat. In this street scene, there are many people standing around the mat, and the stores are lining the sidewalk. The scene takes place during the daytime."
v_zoWqv-sIdBY,What is the initial scene of the video and what happens next?,"The video starts with text appearing on a blue screen. Next, a boy named Ivan is sitting on a chair in a well-lit bedroom. His hair is being combed by another boy standing behind him, who is introduced as Oscar. Ivan is sitting in front of a table with a computer on it and there is a wooden drawer next to him. As Oscar brushes Ivan’s hair, his head is pulled back."
v_W9H2qVnIWXs,What is the sequence of events involving the groomer in the video?,"The video begins with a white labrador retriever outside followed by a man wearing a red polo shirt bathing a golden retriever secured with a harness. The groomer is shown lathering and washing the dog with a hose, then drying it off with a towel and a blow-drier. He then wipes the dog with a towel again and brushes its coat. After that, the video transitioned to a man entering a shop with his dog in a harness. The following clip shows a golden retriever laying down on the floor. Subsequently, a labrador retriever is shown jumping through an orange tube followed by jumping down onto the ground in a wooden area. Finally, the dog is shown panting in a different location and the video ends with the contact information for the groomer displayed."
v_wJk3KOUAwXA,What is the sequence of actions performed by the man in the woodworking shop?,"The man in the woodworking shop first applies wax on the surface of the table with a ball of steel wool. Then, he uses a car buffing wheel to polish the section he waxed. Lastly, he uses a wet rag to buff the surface."
v_ks018ZYzrx4,What is the first thing shown in the video?,"The video begins with the text ""Arenacross 2012"" appearing on a black screen."
v_11p9goB2rm8,What are the sequences of events in the video in terms of timing?,"The video begins in a playground with a basketball court followed by a teenager taking a running start and hopping through the hopscotch court. The two other teens follow suit and all three of them hop through the hopscotch court again. Two of the boys then attempt to do a pull-up from the basketball hoop and jump down. After that, they run a few feet away from the basketball hoop. The video ends with the cameraperson slowly walking towards the boys. Throughout the video, there are other basketball hoops visible in the distance with people scattered on the basketball court."
v_WOUkPgHtt4E,What was the first scene in the video and how was the gymnasium described?,"The video started with children practicing in a well-lit gymnasium with cream color walls, blue mattresses on the floor and armbars and balance beams installed. Windows were located on the left side of the children practicing and there was a small wall clock on the left side of the gym. Some trophies were kept on the edge of the window. "
v_sBwUwgTjhAU,What does the woman wearing a sweater over a red outfit do after looking into the camera?,"After looking into the camera, the woman walks to a desk with a computer in the back and sits down."
v_JiNcVb97CnA,What type of dancing do the couple do during the video and how does the video end?,The couple in the video mostly do partner twirls during their dance. The video ends with the two still dancing.
v_F9mk2Dn2tFw,What is the order in which the children pass the ball in the video?,"The girl in the pink T-shirt receives the ball from the boy in the white T-shirt and blue shorts and kicks the ball to the boy in the black T-shirt and black jeans, who then kicks the ball and runs across the field. Another boy catches the ball and bumps it into the boy running."
v_QT4d1nTQYSE,What is the first event that happens in the video?,"The video starts in an art studio as a man, whose name is Jonas Gerard, is about to begin a live painting performance."
v_mLFjww64sX8,What was the barber doing after he used a blade on the customer's head?,"After using a blade on the customer's head, the barber walked to the other side of the customer and stood with his back to the camera."
v_7EeO9V2B574,What time of the day were the women dancing under the tree's shadow?,The women were dancing under a tree's shadow during the daytime.
v_afMQA352X_A,What type of training did the man in the white T-shirt start with before the sparring session?,The man started his practice with punches and kicks before the sparring session. The trainer was calling out which move he should do next and in what count.
v_aDe5hUB3AdY,What is the temporal sequence of events in the video?,"The video starts with the scene of three dinghies sailing in the sea. In the next clip, sailors are practicing capsizing training. After that, a boy is seen sailing a dingy, and then multiple people are seen sailing dinghies; one boy sails and turns near the boat the camera person is on. The video ends with the story of two boys sitting and sailing on a dingy. "
v_NM7Vye5nxj8,What sequence of events occurred during the high jump competition in the daytime?,"During the high jump competition in the daytime, a boy in a blue vest and shorts started his run, jumped over the bar by jumping backward and cleared it. He then walked away while speaking to a man wearing a blue t-shirt. Following that, a man in a blue vest and tights began his run, jumped over the bar, but unfortunately made contact with it which fell as he landed on the cushion. He then got up and walked away. In the background, an incline with shrubs and trees is visible."
v_jt-Vnap5KP4,What is the first action the old man takes in the video?,The video starts with the old man sitting on a mobility scooter.
v_w46wkDledek,What style of partner dancing were the two girls doing in the video?,The two girls were doing Spanish-style partner dancing in the well-lit living room. They continued dancing to music as one partner took turns spinning the other.
v_OkvWTZ4XLyM,What is the sequence of events in the video while the man throws the discus?,"The man builds momentum by holding the discus out in his right hand and spins slowly. After spinning the discus a few times, he releases it and walks toward the landing area. The sequence of events includes building momentum, spinning, releasing the discus, and walking to the landing area."
v_UNXLfqkwKFc,What does the man do at the start and end of the video?,The man starts the video standing with a vacuum cleaner and ends the video by switching off the vacuum cleaner and moving out of the frame.
v_CeXtKbFnPIQ,What does the man do after throwing the tennis ball into the air?,The man hits the tennis ball to the other side of the court after throwing it into the air.
v_YnjITZnk6OE,What are the players doing on the hockey rink?,The players on the hockey rink are doing drills. They are running side to side and diving and jumping through obstacles placed on the ground while holding a hockey stick in one hand and wearing hockey gloves in the other.
v_itXYuf_Cj_Q,What does the man do with the banana peel in the video?,"In the video, after the man peels a banana, he uses the peel to wipe a single black dress shoe placed on each of his thighs. He wipes all sides of the shoe and holds it to the camera before throwing the used peel to the side."
v_IL8__uSFpqg,What does the man do after he removes the crankset from the bike?,"After removing the crankset from the bike, the man wipes the grease off of the crankset and the bottom bracket with a paper towel. He then applies something from a tube on the bottom bracket using his finger to spread it. Finally, he reattaches the crankset and tightens the bolt."
v_iqhdqhVttEM,What activity does the man start at the beginning of the video?,"The man wearing a white T-shirt starts to dance at the beginning of the video, and the people behind him start to follow his lead, indicating the start of the Zumba class."
v_HkbOI7gEtKk,What is the sequence of events in the video starting from the introduction of the beautician?,"The sequence of events in the video is as follows: The video starts with two women in a well-lit room with shuttered windows. The woman on the left, who is a beautician, introduces herself and shows how to make a cleansing with baking soda. She then introduces the model on the right. A shot of the table is shown with a bowl of yogurt with a spoon and a box of baking soda. The beautician places a spoon of yogurt and a quarter teaspoon of baking soda in the cupped hands of the model. The model rubs her hands together to mix the yogurt and baking soda and applies the mixture to her face. The beautician then gives further instructions and the model wipes her face with a washcloth and shows the dirty washcloth to the camera. The video ends with the beautician ending her instructions."
v_EZyLBq2jJtE,What is the temporal sequence of events in the video?,"The video starts with a black screen displaying the text “REALLY BETHANY Shaving Your Legs In My Office…REALLY?”. Then, a woman named Bethany is seen shaving her legs while sitting on a chair in a well-lit room with white walls. She shaves her right leg followed by her left leg. A woman enters the office through the open door on Bethany’s left and shows some papers to her before leaving. Bethany then holds a pose while standing in the office with a woman standing behind her. The woman behind Bethany is wearing a grey top with black pants, black shoes, and glasses. Bethany then skips out of the frame and the video ends with a fade-out into a black screen. "
v_iABuDhagUm8,What is the sequence of events when the man starts chopping the log?,"The man walks slowly towards the chopping block with the axe in his right hand. He places a log on the block and swings the axe down, causing the log to crack. He repeats the action, causing a slight crack in the middle of the log. As he swings again, a piece of wood breaks off, and he continues to swing until the log finally breaks and falls to the ground. Throughout the process, a dog approaches and jumps up and down near the man to watch. At one point, the dog even runs away when the axe is about to strike the log. The video ends with the man throwing the axe and walking towards the camera."
v_yttmx8mcjGw,What is the first event that takes place in the video?,"The video starts with two women sitting on a beach, with one wearing a yellow T-shirt and a Ford logo on the back while the other is wearing a pink T-shirt with a Ford logo on its back. People are seen walking and playing cricket on the beach."
v_kl-2y3jtPNE,What happens after the batsman jumps to let the ball pass behind him in the cricket game?,"After the batsman jumps to let the ball pass behind him in the cricket game, he starts to run to the other side while the nonstriker runs towards the striker’s end and gets ready to bat."
v_Hy54nZSDxTk,What is the sequence of events in the video?,"The video starts with a group of people holding paintball guns and wearing paintball helmets while conversing. The cameraman finishes giving instructions and runs forward, shooting at people in the distance. The shooter makes his way through the park, shooting at people. A few people in front of him crouch and move back while holding their hands up. The video concludes with people walking back towards the exit with their hands up and the shooter avoiding being shot."
v_Ur_ToogEkCA,What happens at the end of the volleyball game?,"At the end of the volleyball game, a few people come into frame."
v_IfugNwywj-k,What is the temporal sequence of events in the video?,"The video starts with an old man repairing a bicycle in a well-lit shop. The man is sitting on a wooden chair in front of the bicycle, which is propped up vertically against the wall. Another bicycle is parked next to him. A woman wearing a pink top enters the shop and they start to converse. The old man turns the wheel of the bicycle and the woman checks if it is working. The video ends with the two of them still conversing, and the man holding the woman by the ear."
v_BBKSKU6dGGk,In what way is the man clearing the snow?,The man is slowly clearing snow as he walks forward.
v_wEehiYq9ttE,What happens after the man speaks to the woman while cleaning her shoe?,"After the man speaks to the woman while cleaning her shoe, he uses a spray bottle to spritz some liquid on the shoe before cleaning it with a toothbrush."
v_jkrlHzTRTvo,What are the various events that happen in the video in a chronological order?,"The video begins with an animation of famous buildings in New York. The following clip shows a group of young boys getting ready with paintball gear and taking defensive positions in a paintball arena. Then, a man wearing a black shirt is seen speaking to a boy with glasses. The kids are then seen playing with paintball guns held forward and ducking behind inflated bunkers used as obstacles in the field. Throughout the video, there are various clips of kids playing in the paintball arena and loading their paintball guns with pellets. Towards the end of the video, there is a clip of kids listening to another boy before a game and the video ends with a boy walking towards a curtain and lifting it to walk behind it."
v_vska7f8Zm9s,What does the person do after lighting the matchstick?,"After lighting the matchstick with the striker, the person holds the lit matchstick to some kindling on the ground. He then adds more kindling over the flame and fresh firewood as well."
v_CTyvQHkAKuY,What happens when the woman wearing the scarf walks up to the man playing the piano?,"When the woman wearing the scarf walks up to the man playing the piano, she speaks to him briefly before beginning to sing as he continues playing. A man in a white jacket can be seen walking behind and to the right of the singing woman. People look at the dancing man and cheer, and the man is seen finishing his dance before the video continues with the man playing the piano and the woman singing."
v_j_1kNiGcepU,What happens after the harmonica player finishes playing the first song?,"After the harmonica player stops one song and begins another, he waves to someone to his left, indicating he knows someone in the area. The video continues until the harmonica player finishes playing this second song and pockets his harmonica, greeting someone walking behind him."
v_jN-jnIgzd6k,What type of drills are the children doing in the video?,The children are doing punch and kick drills while moving forward and back.
v_7OcxT66BxX0,What events occur at the beginning and end of the video?,"At the beginning of the video, a man is shown wearing a black jacket and fedora, playing a harmonica and singing on a stage with lights shining from the top while people are visible sitting in darkened seats. As the man continues to sing, he includes the audience and plays the harmonica for a few stretches. At the end of the video, he finishes singing and fixes the mic back on the stand before walking off to the side."
v__jV5sAOOHLk,What is the order of the steps taken by Brandt to repair the punctured tire?,"Brandt first undoes the brakes of the back tire, then uses a wrench to unscrew the derailleur guard, and removes the tire from the rim. He then opens a new tube from a box and inflates it a little using a pump before inserting it into the tire and filling it up fully. Finally, he fixes the tire back to the bicycle using the wrench and reapplies the rear brake."
v_qsEnLQ2UnEA,What does the man do before he throws the hammer?,"Before throwing the hammer, the man wearing a white T-shirt and shorts steps into the throwing circle on a concrete patch of a field while carrying the hammer attached to a handle through a metal string. He swings the hammer a few times, then spins in place before turning around and throwing the hammer towards the open field on the left."
v_cEa87QoI3Do,What happens after the girl walks through the kitchen and enters the living room?,"After the girl walks through the kitchen and enters the living room, she puts her backpack down and sits on the sofa. The two identical men stand at the entrance to another room and greet the girl. They wave back and proceed to make sandwiches. The man wearing the black shirt spreads peanut butter on one of the pieces of bread and the man wearing glasses makes a sandwich using lettuce and ham. The man in the black shirt spreads jelly on the other side of the sandwich. The next clip shows the sandwiches being placed in front of the girl and the video ends with the two men looking at each other and frowning."
v_lPw_BRbPw5s,Can you describe the temporal sequence of events in the video?,"In the first clip, a man and a woman are dancing outside in an alley. The man leads the woman and they move around while dancing. The second clip shows the same man and woman still in the alley, but now the man turns the woman forward and backward. In the third clip, a man in a white t-shirt joins the woman and they dance and turn. The video ends with the two stopping their dance."
